Id,Model,Age_08_04,Mfg_Month,KM,HP,cc,Quarterly_Tax,Weight,Price (Y),,,,
1,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,23,10,46986,90,2000,210,1165,13500,,,,
2,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,23,10,72937,90,2000,210,1165,13750,,,,
3,?TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,24,9,41711,90,2000,210,1165,13950,,,,
4,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,26,7,48000,90,2000,210,1165,14950,,,,
5,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,30,3,38500,90,2000,210,1170,13750,,,,
6,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,32,1,61000,90,2000,210,1170,12950,,,,
7,?TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,27,6,94612,90,2000,210,1245,16900,,,,
8,TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,30,3,75889,90,2000,210,1245,18600,,,,
9,?TOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors,27,6,19700,192,1800,100,1185,21500,,,,
10,?TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,23,10,71138,69,1900,185,1105,12950,,,,
11,TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 2/3-Doors,25,8,31461,192,1800,100,1185,20950,,,,
12,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors,22,11,43610,192,1800,100,1185,19950,,,,
13,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,25,8,32189,192,1800,100,1185,19600,,,,
14,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,31,2,23000,192,1800,100,1185,21500,,,,
15,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,32,1,34131,192,1800,100,1185,22500,,,,
16,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,28,5,18739,192,1800,100,1185,22000,,,,
17,?TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,30,3,34000,192,1800,100,1185,22750,,,,
18,?TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 2/3-Doors,24,9,21716,110,1600,85,1105,17950,,,,
19,TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors,24,9,25563,110,1600,19,1065,16750,,,,
20,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,30,3,64359,110,1600,85,1105,16950,,,,
21,?TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,30,3,67660,110,1600,85,1105,15950,,,,
22,TOYOTA Corolla 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors,29,4,43905,110,1600,100,1170,16950,,,,
23,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,28,5,56349,110,1600,85,1120,15950,,,,
24,?TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,28,5,32220,110,1600,85,1120,16950,,,,
25,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,29,4,25813,110,1600,85,1120,16250,,,,
26,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,25,8,28450,110,1600,85,1120,15950,,,,
27,?TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,27,6,34545,110,1600,85,1120,17495,,,,
28,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,29,4,41415,110,1600,85,1120,15750,,,,
29,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,28,5,44142,110,1600,85,1120,16950,,,,
30,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,30,3,11090,110,1600,85,1120,17950,,,,
31,?TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,29,4,9750,97,1400,19,1100,12950,,,,
32,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,22,11,35199,97,1400,85,1100,15750,,,,
33,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,27,6,29510,97,1400,85,1100,15950,,,,
34,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,26,7,32692,97,1400,85,1100,14950,,,,
35,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,22,11,41000,97,1400,85,1100,15500,,,,
36,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,26,7,43000,97,1400,85,1100,15750,,,,
37,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,25,8,25000,97,1400,85,1100,15950,,,,
38,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,23,10,10000,97,1400,85,1100,14950,,,,
39,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,32,1,25329,97,1400,85,1100,15750,,,,
40,?TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,27,6,27500,97,1400,85,1100,14750,,,,
41,?TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,22,11,49059,97,1400,85,1100,13950,,,,
42,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,27,6,44068,97,1400,85,1100,16750,,,,
43,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,22,11,46961,97,1400,85,1100,13950,,,,
44,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,27,6,110404,90,2000,234,1255,16950,,,,
45,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,22,11,100250,90,2000,234,1255,16950,,,,
46,?TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,23,10,84000,90,2000,234,1270,19000,,,,
47,TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors,27,6,79375,90,2000,234,1255,17950,,,,
48,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,22,11,75048,97,1400,85,1110,15800,,,,
49,?TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,22,11,72215,90,2000,234,1255,17950,,,,
50,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,31,2,64982,192,1800,100,1195,21950,,,,
51,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,22,11,62636,90,2000,234,1255,17950,,,,
52,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,30,3,57086,97,1400,85,1110,15750,,,,
53,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,26,7,56000,110,1600,100,1180,20500,,,,
54,TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,27,6,49866,192,1800,100,1195,21950,,,,
55,?TOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,25,8,49163,110,1600,100,1165,15500,,,,
56,?TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,32,1,45725,110,1600,85,1075,13250,,,,
57,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,28,5,43210,97,1400,85,1110,15250,,,,
58,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,26,7,43000,97,1400,85,1110,15250,,,,
59,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,23,10,39704,110,1600,100,1180,18950,,,,
60,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,30,3,38950,110,1600,85,1130,15999,,,,
61,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,22,11,37400,97,1400,85,1110,14950,,,,
62,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,27,6,37177,110,1600,85,1130,16500,,,,
63,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,31,2,36544,110,1600,85,1130,18750,,,,
64,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,30,3,33511,110,1600,85,1130,17950,,,,
65,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,27,6,32809,97,1400,85,1110,17950,,,,
