T1_H_Win_per,T1_A_Win_per,T1_T_WIn_Per,T1_Margin_per_game,T1_Ast_per_game,T1_Blk_per_game,T1_TS_per_game,T1_TR_per_game,T1_OR_per_game,T1_Stl_per_game,T1_TOVP_per_game,T1_Tier,T1_Seed,T2_H_Win_per,T2_A_Win_per,T2_T_WIn_Per,T2_Margin_per_game,T2_Ast_per_game,T2_Blk_per_game,T2_TS_per_game,T2_TR_per_game,T2_OR_per_game,T2_Stl_per_game,T2_TOVP_per_game,T2_Tier,T2_Seed,Output
0.866666667,0.111111111,0.607142857,4.285714286,12.10714286,3.785714286,0.521729041,37.5,13.57142857,6.607142857,16.72747432,2,10,0.916666667,0.181818182,0.625,3.53125,13.8125,5.34375,0.547855605,36.84375,11.21875,4.4375,15.09481017,2,7,0
0.933333333,0.916666667,0.892857143,14.96428571,17.64285714,4.214285714,0.55733373,42.82142857,15.17857143,8.464285714,16.09530464,1,1,0.846153846,0.818181818,0.741935484,8.870967742,15.74193548,3.516129032,0.582984443,37.25806452,11.93548387,6.806451613,18.00738602,2,9,1
0.933333333,0.916666667,0.892857143,14.96428571,17.64285714,4.214285714,0.55733373,42.82142857,15.17857143,8.464285714,16.09530464,1,1,0.928571429,0.777777778,0.766666667,14.96666667,16.73333333,4.9,0.559316742,41.2,14.3,10.13333333,16.96819474,1,2,0
0.933333333,0.916666667,0.892857143,14.96428571,17.64285714,4.214285714,0.55733373,42.82142857,15.17857143,8.464285714,16.09530464,1,1,0.875,0.4,0.709677419,8.903225806,16.90322581,5.64516129,0.56803406,38.25806452,11.38709677,7.451612903,15.39455928,2,5,1
0.933333333,0.916666667,0.892857143,14.96428571,17.64285714,4.214285714,0.55733373,42.82142857,15.17857143,8.464285714,16.09530464,1,1,0.9,0.5,0.655172414,4.655172414,14.20689655,2.965517241,0.528382604,38.68965517,12.96551724,6.862068966,18.01412631,2,16,1
0.8,0.4,0.620689655,6.793103448,15.55172414,4.24137931,0.557354482,37,13.68965517,5.206896552,17.00360916,2,10,0.928571429,0.777777778,0.766666667,14.96666667,16.73333333,4.9,0.559316742,41.2,14.3,10.13333333,16.96819474,1,2,0
0.8,0.4,0.620689655,6.793103448,15.55172414,4.24137931,0.557354482,37,13.68965517,5.206896552,17.00360916,2,10,0.875,0.636363636,0.793103448,8.689655172,16.62068966,5.068965517,0.534495875,40.03448276,14.06896552,7.379310345,16.37721349,1,7,1
0.764705882,0.375,0.633333333,4.533333333,13.4,4.966666667,0.552236374,34.5,11.93333333,8.033333333,20.09449365,2,10,0.916666667,0.615384615,0.793103448,11.34482759,14,5.551724138,0.557652425,35.31034483,11.17241379,7.206896552,16.96111615,1,7,1
0.764705882,0.375,0.633333333,4.533333333,13.4,4.966666667,0.552236374,34.5,11.93333333,8.033333333,20.09449365,2,10,1,0.666666667,0.827586207,10.20689655,14.96551724,7.275862069,0.555912713,41.20689655,14.31034483,8.310344828,16.04080685,1,3,0
0.764705882,0.375,0.633333333,4.533333333,13.4,4.966666667,0.552236374,34.5,11.93333333,8.033333333,20.09449365,2,10,1,0.636363636,0.827586207,10.79310345,14.5862069,4.379310345,0.569347702,41.68965517,14.75862069,6.413793103,17.89407455,1,2,1
1,0.461538462,0.740740741,2,13.40740741,4.666666667,0.55859075,34.85185185,10.62962963,7.037037037,19.54974511,2,13,0.888888889,0.727272727,0.8,13.36666667,16.6,4.733333333,0.571641483,38.3,13.2,7.2,15.65050034,1,4,0
1,0.666666667,0.827586207,7.655172414,12.96551724,1.862068966,0.594493538,28.20689655,7.827586207,6.344827586,15.0763061,1,12,0.888888889,0.727272727,0.8,13.36666667,16.6,4.733333333,0.571641483,38.3,13.2,7.2,15.65050034,1,4,1
1,0.666666667,0.827586207,7.655172414,12.96551724,1.862068966,0.594493538,28.20689655,7.827586207,6.344827586,15.0763061,1,12,0.857142857,0.4,0.7,10,14.5,3.733333333,0.551474437,37.26666667,12.66666667,8.733333333,19.74672504,2,5,1
1,0.666666667,0.827586207,7.655172414,12.96551724,1.862068966,0.594493538,28.20689655,7.827586207,6.344827586,15.0763061,1,12,0.9375,0.625,0.8,11,14.16666667,3.766666667,0.548500307,37.1,12.13333333,6.933333333,15.50783164,1,1,0
0.928571429,0.545454545,0.741935484,8.774193548,13.41935484,2.516129032,0.587839975,35.29032258,10.87096774,6.935483871,18.17956002,2,12,0.875,0.454545455,0.7,8.633333333,15.63333333,7.733333333,0.557302285,42.66666667,14.76666667,5.933333333,18.21666821,2,5,0
0.916666667,0.642857143,0.793103448,6.103448276,15.62068966,4,0.624036854,33.86206897,10.5862069,7.103448276,22.35754107,1,11,1,0.636363636,0.878787879,14.90909091,16.81818182,4.454545455,0.596900515,34.06060606,10.87878788,8.393939394,16.7750288,1,6,1
0.916666667,0.642857143,0.793103448,6.103448276,15.62068966,4,0.624036854,33.86206897,10.5862069,7.103448276,22.35754107,1,11,1,0.333333333,0.8,11.56666667,13.83333333,5.133333333,0.569149788,36.86666667,13.76666667,8.5,16.28272648,1,3,0
0.928571429,0.636363636,0.724137931,4.724137931,16,2.793103448,0.55645587,35.62068966,11.24137931,6.551724138,17.36599111,2,8,0.8125,0.3,0.6,4.4,14.66666667,3.066666667,0.582109908,31.76666667,9.733333333,7.766666667,18.58338214,2,9,1
0.928571429,0.636363636,0.724137931,4.724137931,16,2.793103448,0.55645587,35.62068966,11.24137931,6.551724138,17.36599111,2,8,0.9375,0.625,0.8,11,14.16666667,3.766666667,0.548500307,37.1,12.13333333,6.933333333,15.50783164,1,1,0
0.8,0.3,0.607142857,5.821428571,12.28571429,4.25,0.509225912,35.53571429,12.14285714,5.178571429,13.58889342,2,8,0.846153846,0.818181818,0.741935484,8.870967742,15.74193548,3.516129032,0.582984443,37.25806452,11.93548387,6.806451613,18.00738602,2,9,0
0.933333333,0.25,0.64516129,5.451612903,13.38709677,6.64516129,0.526959859,42.4516129,14.48387097,6.129032258,16.27894426,2,10,0.875,0.333333333,0.612903226,6.258064516,13.61290323,3.709677419,0.555030595,34.93548387,10.67741935,6.387096774,19.30662116,2,7,0
0.75,0.25,0.566666667,1.333333333,15.5,4.233333333,0.589760159,34.26666667,10.8,5.333333333,20.48500251,2,14,1,0.333333333,0.8,11.56666667,13.83333333,5.133333333,0.569149788,36.86666667,13.76666667,8.5,16.28272648,1,3,0
0.875,0.454545455,0.7,8.633333333,15.63333333,7.733333333,0.557302285,42.66666667,14.76666667,5.933333333,18.21666821,2,5,0.823529412,0.7,0.741935484,5.290322581,14.64516129,3.35483871,0.540200414,38.87096774,13.74193548,5.516129032,17.54221554,2,4,1
0.875,0.454545455,0.7,8.633333333,15.63333333,7.733333333,0.557302285,42.66666667,14.76666667,5.933333333,18.21666821,2,5,1,0.555555556,0.785714286,10.17857143,14.5,3.857142857,0.54189733,42.32142857,16.17857143,6.392857143,15.62383703,1,1,0
0.944444444,0.636363636,0.827586207,6.482758621,15.20689655,2.931034483,0.568192013,36.65517241,13.48275862,5.379310345,17.1648612,1,4,0.823529412,0.5,0.709677419,8.258064516,14.77419355,5,0.560673803,36.96774194,11.16129032,7.580645161,17.88876398,2,13,0
